ts,sid,aid,rps,p50,p90,p99,err_rate,cb,rt_rate,reward,ce,ra
2026-04-26T04:16:52.988525,1,0,83.0,3.1419,6.0119,10.6632,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:17:08.038693,1,0,83.2222,3.1278,5.8187,10.6513,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:17:23.081283,1,0,83.6889,3.1209,5.7778,9.8604,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:17:38.137125,1,0,83.0889,3.1278,5.9527,9.9463,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:17:53.197151,1,0,83.0889,3.1488,6.1915,9.9499,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:18:08.283515,1,0,82.3333,3.1874,6.4212,12.3489,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:18:23.331830,1,0,83.1556,3.1884,6.4085,12.2602,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:18:38.477522,1,0,83.2889,3.1893,6.4575,13.6957,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:18:53.507897,1,0,80.0444,3.1534,6.1153,11.4923,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:19:08.541969,1,0,61.6667,3.1591,6.1733,13.3081,0.0,0.0,0.0,1.0,2,1
2026-04-26T04:19:23.572037,1,0,40.7111,3.2625,6.9936,12.7115,0.0,0.0,0.0,0.8142,2,1
2026-04-26T04:19:38.604141,1,0,23.2,3.5536,8.1176,16.1857,0.0,0.0,0.0,0.464,2,1
2026-04-26T04:19:53.635339,1,0,20.0,4.0261,8.6667,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:20:08.669638,1,0,20.0,4.0191,8.65,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:20:23.707412,1,0,20.0,4.065,8.6378,9.9359,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:20:38.741162,1,0,20.0,4.0297,8.6589,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:20:53.771858,1,0,20.0,4.049,8.6842,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:21:08.804884,1,0,20.0,4.1552,8.7733,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:21:23.836174,1,0,20.0,4.1342,8.7461,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:21:38.867931,1,0,20.0,4.0775,8.7296,13.75,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:21:53.918093,1,0,20.0,3.9577,8.6014,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:22:08.954400,1,0,20.0,3.9647,8.5764,9.9826,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:22:23.985302,1,0,20.0,4.0,8.6177,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:22:39.015063,1,0,20.0,3.9418,8.5638,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:22:54.046892,1,0,20.0,3.8959,8.5348,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:23:09.090795,1,0,20.0,3.9645,8.6189,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:23:24.122223,1,0,20.0,4.0662,8.7294,14.6154,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:23:39.155264,1,0,20.0,4.0839,8.7418,14.6154,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:23:54.188895,1,0,20.0,4.0069,8.661,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:24:09.219200,1,0,20.0,3.9474,8.5965,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:24:24.250792,1,0,20.0,4.0035,8.6532,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:24:39.292824,1,0,20.0,4.0775,8.7175,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:24:54.324173,1,0,20.0,4.1342,8.7937,15.3571,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:25:09.357827,1,0,20.0,4.108,8.7621,14.6154,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:25:24.387539,1,0,20.0,3.9627,8.5938,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:25:39.418153,1,0,20.0,3.8694,8.4743,9.9632,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:25:54.439690,1,0,20.0,3.8581,8.5038,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:26:09.473095,1,0,20.0,3.9164,8.574,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:26:24.512449,1,0,20.0,3.9254,8.587,13.75,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:26:39.540844,1,0,20.0,3.9832,8.6285,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:26:54.571423,1,0,20.0,3.9443,8.5791,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:27:09.602381,1,0,20.0,3.9079,8.5273,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:27:24.631427,1,0,20.0,3.9061,8.5273,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:27:39.661325,1,0,20.0,3.9428,8.638,15.3571,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:27:54.720961,1,0,20.0,4.0801,8.75,15.3571,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:28:09.758407,1,0,20.0,4.047,8.6921,12.7273,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:28:24.789566,1,0,20.0,4.1277,8.7264,10.0,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:28:39.814127,1,0,20.0,4.043,8.6711,11.5,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:28:54.845699,1,0,20.0,4.0034,8.7197,16.5625,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:29:09.876826,1,0,20.0,3.9246,8.6882,17.8868,0.0,0.0,0.0,0.4,2,1
2026-04-26T04:29:55.396059,1,1,20.0,4.0845,8.7712,16.9,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:30:10.426393,1,1,20.0,4.0208,8.7218,16.9346,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:30:25.459179,1,1,20.0,3.8534,8.4457,9.9625,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:30:40.508612,1,1,20.0,3.852,8.4793,10.0167,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:30:55.543015,1,1,20.0,3.8459,8.4457,9.9625,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:31:10.577220,1,1,20.0,3.8477,8.4831,10.0,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:31:25.609497,1,1,20.0,3.8694,8.5261,12.7273,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:31:40.640375,1,1,20.0,3.9513,8.6691,16.5625,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:31:55.670996,1,1,20.0,4.0017,8.757,17.8868,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:32:10.723657,1,1,20.0,4.0753,8.7508,15.3357,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:32:25.756707,1,1,20.0,4.1025,8.7229,11.47,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:32:40.780812,1,1,20.0,4.0481,8.686,12.7136,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:32:55.811552,1,1,20.0,3.973,8.662,15.3571,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:33:10.840839,1,1,20.0,3.8469,8.5192,14.6154,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:33:25.871669,1,1,20.0,3.8377,8.4411,9.981,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:33:40.916585,1,1,20.0,3.9763,8.6159,11.5,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:33:55.950964,1,1,20.0,4.0035,8.6242,9.9832,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:34:10.982126,1,1,20.0,4.0123,8.6545,10.0,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:34:26.012656,1,1,20.0,3.9789,8.5833,9.9333,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:34:41.028530,1,1,20.0,4.0303,8.6721,10.0,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:34:56.059353,1,1,20.0,4.0159,8.6589,10.0,0.0,0.0,0.0,0.4,3,1
